Ticker,Sector,Category,Weekly_Momentum,Monthly_Momentum,Quarterly_Momentum,Momentum_Score,Uptrend
CWEB.TO,Healthcare,Small,136.36362897463076,300.0,300.0,7.1428609441737585,True
FF.TO,Materials,Small,3.846161781683767,44.0000057220459,208.57144608789588,200.0000186264519,True
TMQ.TO,Materials,Small,4.013374086165112,26.166328737738493,166.95278943607147,245.73171498483316,True
USA.TO,Materials,Small,1.6172491148951331,39.62962645725627,147.2131173683091,335.55555634047266,True
BSX.TO,Materials,Small,17.99999475479126,68.57142394902746,135.99998950958252,450.0000093132259,True
ARIS.TO,Materials,Small,3.4758090150125978,39.873020232669894,131.65089544099564,297.96747195286525,True
AII.TO,Materials,Small,19.287696181429958,39.405410354201855,121.94493261207539,570.3296376998284,True
GMIN.TO,Materials,Small,4.476496588023122,46.478374736808505,119.83253259959135,196.65392517668278,True
DBO.TO,Technology,Small,-1.6853916782002771,36.71875305590226,118.74999674037103,364.28569527913123,True
DSV.TO,Materials,Small,-6.209157184637159,29.473677191000387,116.87656409643232,888.7324215613345,True
FDY.TO,Materials,Small,14.163097550653205,27.88462420187085,112.80000686645508,164.00000254313153,True
IMG.TO,Materials,Mid,3.5714239521072706,18.827795806464664,102.20653134760327,198.6244723718123,True
ERO.TO,Materials,Mid,8.882431032877152,24.24643146070113,98.88651700756225,77.57450450061512,True
CG.TO,Materials,Mid,3.460932658489972,16.745562056717777,98.29521966220501,134.18989082326834,True
CG.TO,Materials,Mid,3.460932658489972,16.745562056717777,98.29521966220501,134.18990520044784,True
BITF.TO,Technology,Small,8.099688080170438,-3.611107762948878,97.1590936029992,103.58744049425133,True
LUN.TO,Materials,Mid,3.4680058795710815,12.903106988805005,93.34696061011054,112.50933001262338,True
LUN.TO,Materials,Large,3.360745645813465,12.78606584604175,93.14652724894668,112.50933001262338,True
SEA.TO,Materials,Small,2.5943446258982723,23.875899301141985,83.9937775932894,135.82921392449495,True
EQX.TO,Materials,Mid,0.8858784344077334,8.459384854968311,80.42871795236428,167.69229558541497,True
EFR.TO,Materials,Small,14.655179412555103,-2.385314534924517,79.88166376909828,176.49456538464204,True
CGG.TO,Materials,Small,-2.9454526034268467,6.931095805452878,79.00738301275122,274.29590107407995,True
ASM.TO,Materials,Small,9.349112185621818,40.85365627614745,77.692309808449,473.6000061035156,True
ESM.TO,Materials,Small,32.462679264300775,51.06382560492532,77.49999199062599,424.999995343387,True
ABX.TO,Materials,Large,0.9000015258789064,16.923306561643784,77.34393062776398,163.46598505232527,True
EDR.TO,Materials,Small,2.170548022678228,21.69898797806778,75.73333740234375,138.55184465522947,True
AAUC.TO,Materials,Small,1.6560524333790145,38.48156673676552,75.00000261423884,173.25227584667584,True
DPM.TO,Materials,Small,3.587118685025991,26.716420187878963,74.87088790479605,197.10276301113433,True
HBM.TO,Materials,Mid,1.6030536796321233,20.343579698326785,74.54890113604294,102.32300486533401,True
OGC.TO,Materials,Small,0.6811688464842621,11.789702695495885,69.50665326882086,201.65399391015154,True
NGD.TO,Materials,Small,6.3478221064028535,21.812744907412377,67.07649256052623,211.36363913451345,True
PAAS.TO,Materials,Mid,4.267046076780497,33.47095916767932,66.27706510635329,110.64939816992975,True
PAAS.TO,Materials,Mid,3.9767747504916753,33.09938642445503,65.81416272217822,110.64939816992975,True
AYA.TO,Materials,Small,-1.8145191914456953,31.002015414635085,65.2247634034315,59.77443093475586,True
FM.TO,Materials,Large,8.833092505905737,24.123988456170952,64.3908987212338,63.35837854077183,True
CLS.TO,Technology,Mid,9.661378302176612,-4.186204932201868,64.23280422007915,249.99998302063568,True
EXE.TO,Energy,Small,-2.7285147235779954,9.128750384861954,63.90897320554561,107.5115042375083,True
FM.TO,Materials,Large,8.44904206580122,23.685979471068066,63.81079578058052,63.35837854077183,True
CLS.TO,Technology,Small,9.282500091937344,-4.517239976203304,63.66538265481285,249.99998302063568,True
ARE.TO,Industrials,Small,6.718155790374833,23.067843379484206,63.347095665106934,3.261659787188167,True
TXG.TO,Materials,Small,2.7567624125241315,5.011444736474843,62.54635344223032,135.4069851862086,True
EFX.TO,Energy,Small,-1.5748038452289517,14.142984036956479,62.093454941640225,35.792401755178204,True
BTE.TO,Energy,Small,0.6912380625909177,-0.8099239494918818,62.086473672090804,30.264399143520176,True
ELD.TO,Materials,Mid,4.009287930680856,25.900380573282234,57.425748183556514,104.88614223446255,True
ELD.TO,Materials,Mid,3.7982681161496847,25.644946895323738,57.106354090537955,104.88614223446255,True
ATZ.TO,Consumer,Small,5.260773743090986,19.123388660410804,56.40162779616807,110.62510978801757,True
TVE.TO,Energy,Small,6.887410476194206,15.979005380231095,56.18704626986113,66.15927893951539,True
GCG.TO,Financials,Small,-0.11896183056459109,0.32860527368388665,53.93909023162973,57.51848152528463,True
EDV.TO,Materials,Mid,3.5141880820133524,16.440626185783458,53.51387835005341,161.53119418468367,True
FOOD.TO,Consumer,Small,11.666665010982156,39.58333993020172,52.27273189085576,-37.17948365258499,False
CS.TO,Materials,Mid,5.706519022877743,11.87345674417001,51.4460524777605,35.853382343237996,True
CS.TO,Materials,Mid,5.66769825892983,11.832371169728168,51.390433850750284,35.853382343237996,True
TECK-B.TO,Materials,Large,5.540979103963883,11.889979822208698,49.21562206132358,4.477812593306314,True
BBD-A.TO,Industrials,Mid,9.131169297112026,10.380972251552496,46.995878409756614,140.19830437060608,True
BBD-B.TO,Industrials,Mid,8.455632205009797,10.106556732621511,46.4956384998702,141.00124044737547,True
